t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1548920187,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.010378,0.044626,0.148164,0.180967,calls/second,milliseconds
1548920188,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.010271,0.044626,0.148164,0.180967,calls/second,milliseconds
1548920189,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.010165,0.044626,0.148164,0.180967,calls/second,milliseconds
1548920190,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.010062,0.044626,0.148164,0.180967,calls/second,milliseconds
1548920191,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.009963,0.041058,0.145715,0.179965,calls/second,milliseconds
1548920192,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.009863,0.041058,0.145715,0.179965,calls/second,milliseconds
1548920193,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.009768,0.041058,0.145715,0.179965,calls/second,milliseconds
1548920194,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.009674,0.041058,0.145715,0.179965,calls/second,milliseconds
1548920195,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.009582,0.041058,0.145715,0.179965,calls/second,milliseconds
1548920196,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.009491,0.037775,0.143306,0.178968,calls/second,milliseconds
1548920197,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.009401,0.037775,0.143306,0.178968,calls/second,milliseconds
1548920198,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.009314,0.037775,0.143306,0.178968,calls/second,milliseconds
1548920199,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.009228,0.037775,0.143306,0.178968,calls/second,milliseconds
1548920200,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.009144,0.037775,0.143306,0.178968,calls/second,milliseconds
1548920201,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.009060,0.034755,0.140938,0.177976,calls/second,milliseconds
1548920202,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.008979,0.034755,0.140938,0.177976,calls/second,milliseconds
1548920203,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.008900,0.034755,0.140938,0.177976,calls/second,milliseconds
1548920204,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.008820,0.034755,0.140938,0.177976,calls/second,milliseconds
1548920205,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.008744,0.034755,0.140938,0.177976,calls/second,milliseconds
1548920206,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.008668,0.031976,0.138608,0.176990,calls/second,milliseconds
1548920207,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.008594,0.031976,0.138608,0.176990,calls/second,milliseconds
1548920208,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.008520,0.031976,0.138608,0.176990,calls/second,milliseconds
1548920209,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.008446,0.031976,0.138608,0.176990,calls/second,milliseconds
1548920210,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.008377,0.031976,0.138608,0.176990,calls/second,milliseconds
1548920211,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.008308,0.029419,0.136317,0.176010,calls/second,milliseconds
1548920212,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.008239,0.029419,0.136317,0.176010,calls/second,milliseconds
1548920213,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.008171,0.029419,0.136317,0.176010,calls/second,milliseconds
1548920214,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.008105,0.029419,0.136317,0.176010,calls/second,milliseconds
1548920215,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.008038,0.029419,0.136317,0.176010,calls/second,milliseconds
1548920216,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007973,0.027067,0.134064,0.175035,calls/second,milliseconds
1548920217,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007909,0.027067,0.134064,0.175035,calls/second,milliseconds
1548920218,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007848,0.027067,0.134064,0.175035,calls/second,milliseconds
1548920219,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007786,0.027067,0.134064,0.175035,calls/second,milliseconds
1548920220,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007725,0.027067,0.134064,0.175035,calls/second,milliseconds
1548920221,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007665,0.024903,0.131848,0.174065,calls/second,milliseconds
1548920222,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007607,0.024903,0.131848,0.174065,calls/second,milliseconds
1548920223,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007550,0.024903,0.131848,0.174065,calls/second,milliseconds
1548920224,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007494,0.024903,0.131848,0.174065,calls/second,milliseconds
1548920225,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007436,0.024903,0.131848,0.174065,calls/second,milliseconds
1548920226,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007379,0.022912,0.129669,0.173101,calls/second,milliseconds
1548920227,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007325,0.022912,0.129669,0.173101,calls/second,milliseconds
1548920228,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007273,0.022912,0.129669,0.173101,calls/second,milliseconds
1548920229,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007220,0.022912,0.129669,0.173101,calls/second,milliseconds
1548920230,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007168,0.022912,0.129669,0.173101,calls/second,milliseconds
1548920231,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007117,0.021080,0.127526,0.172142,calls/second,milliseconds
1548920232,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007065,0.021080,0.127526,0.172142,calls/second,milliseconds
1548920233,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.007018,0.021080,0.127526,0.172142,calls/second,milliseconds
1548920234,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.006950,0.021080,0.127526,0.172142,calls/second,milliseconds
1548920235,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.006897,0.021080,0.127526,0.172142,calls/second,milliseconds
1548920236,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.006795,0.019394,0.125418,0.171188,calls/second,milliseconds
1548920238,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.006698,0.019394,0.125418,0.171188,calls/second,milliseconds
1548920240,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.006654,0.017844,0.123345,0.170239,calls/second,milliseconds
1548920241,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.006627,0.017844,0.123345,0.170239,calls/second,milliseconds
1548920242,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.006601,0.017844,0.123345,0.170239,calls/second,milliseconds
1548920242,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.006575,0.017844,0.123345,0.170239,calls/second,milliseconds
1548920243,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.006550,0.017844,0.123345,0.170239,calls/second,milliseconds
1548920243,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.006524,0.017844,0.123345,0.170239,calls/second,milliseconds
1548920244,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.006506,0.017844,0.123345,0.170239,calls/second,milliseconds
1548920245,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.006475,0.017844,0.123345,0.170239,calls/second,milliseconds
1548920246,1,11.000000,11.000000,11.000000,0.000000,11.000000,11.000000,11.000000,11.000000,11.000000,11.000000,0.006426,0.016417,0.121306,0.169296,calls/second,milliseconds
