t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1548920142,8188264,157122.337379,772900.504666,1408156.403271,1556233.963143,events/second
1548920143,8188264,154192.917676,772900.504666,1408156.403271,1556233.963143,events/second
1548920144,8188264,151350.539781,772900.504666,1408156.403271,1556233.963143,events/second
1548920145,8188264,148611.461418,711102.792383,1384881.625133,1547612.190447,events/second
1548920146,8188264,145951.258411,711102.792383,1384881.625133,1547612.190447,events/second
1548920147,8188264,143400.299891,711102.792383,1384881.625133,1547612.190447,events/second
1548920148,8188264,140924.046701,711102.792383,1384881.625133,1547612.190447,events/second
1548920149,8188264,138547.905309,711102.792383,1384881.625133,1547612.190447,events/second
1548920150,8188264,136237.473441,654246.152359,1361991.545241,1539038.183682,events/second
1548920151,8188264,134005.188504,654246.152359,1361991.545241,1539038.183682,events/second
1548920152,8188264,131832.267531,654246.152359,1361991.545241,1539038.183682,events/second
1548920153,8188264,129730.495423,654246.152359,1361991.545241,1539038.183682,events/second
1548920154,8188264,127736.716147,654246.152359,1361991.545241,1539038.183682,events/second
1548920155,8188264,125767.322969,601935.518270,1339479.805091,1530511.678218,events/second
1548920156,8188264,123859.182604,601935.518270,1339479.805091,1530511.678218,events/second
1548920157,8188264,122021.207854,601935.518270,1339479.805091,1530511.678218,events/second
1548920158,8188264,120218.913404,601935.518270,1339479.805091,1530511.678218,events/second
1548920159,8188264,118492.923895,601935.518270,1339479.805091,1530511.678218,events/second
1548920160,8188264,116787.048557,553807.411552,1317340.151277,1522032.410891,events/second
1548920161,8188264,115160.205085,553807.411552,1317340.151277,1522032.410891,events/second
1548920162,8188264,113544.904619,553807.411552,1317340.151277,1522032.410891,events/second
1548920163,8188264,112001.127526,553807.411552,1317340.151277,1522032.410891,events/second
1548920164,8188264,110484.961394,553807.411552,1317340.151277,1522032.410891,events/second
1548920165,8188264,109028.736777,509527.415779,1295566.433754,1513600.119993,events/second
1548920166,8188264,107583.731632,509527.415779,1295566.433754,1513600.119993,events/second
