t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1548920188,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.020941,0.050038,0.150825,0.181998,calls/second,milliseconds
1548920189,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.020722,0.050038,0.150825,0.181998,calls/second,milliseconds
1548920190,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.020507,0.050038,0.150825,0.181998,calls/second,milliseconds
1548920191,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.020301,0.050038,0.150825,0.181998,calls/second,milliseconds
1548920192,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.020094,0.050038,0.150825,0.181998,calls/second,milliseconds
1548920193,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.019898,0.046038,0.148332,0.180990,calls/second,milliseconds
1548920194,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.019702,0.046038,0.148332,0.180990,calls/second,milliseconds
1548920195,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.019511,0.046038,0.148332,0.180990,calls/second,milliseconds
1548920196,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.019323,0.046038,0.148332,0.180990,calls/second,milliseconds
1548920197,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.019137,0.046038,0.148332,0.180990,calls/second,milliseconds
1548920198,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.018957,0.042357,0.145881,0.179987,calls/second,milliseconds
1548920199,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.018778,0.042357,0.145881,0.179987,calls/second,milliseconds
1548920200,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.018603,0.042357,0.145881,0.179987,calls/second,milliseconds
1548920201,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.018430,0.042357,0.145881,0.179987,calls/second,milliseconds
1548920202,2,15.000000,13.831918,12.000000,1.462816,15.000000,15.000000,15.000000,15.000000,15.000000,15.000000,0.018263,0.042357,0.145881,0.179987,calls/second,milliseconds
